City,Lat,Lng,Max Temp(F),Humidity,Cloudiness,Wind Speed,Country,Date
Monchegorsk,67.94,32.87,32.0,98,100,4.27,RU,1607304722
Haines Junction,60.75,-137.51,12.2,92,100,1.12,CA,1607304554
Chibuto,-24.69,33.53,71.35,86,84,6.22,MZ,1607304724
Comodoro Rivadavia,-45.87,-67.5,66.2,77,0,2.62,AR,1607304715
Choix,26.71,-108.32,62.69,28,0,3.15,MX,1607304726
Touros,-5.2,-35.46,78.8,83,75,5.82,BR,1607304165
Kisangani,0.52,25.2,70.45,97,100,4.41,CD,1607304728
Bonnyville,54.27,-110.73,30.2,58,20,3.36,CA,1607304439
Muncar,-8.43,114.33,87.4,64,16,0.83,ID,1607304731
Navalmoral de la Mata,39.89,-5.54,44.01,88,98,11.68,ES,1607304732
Nirmal,19.1,78.35,64.08,51,0,1.9,IN,1607304733
Jumla,29.27,82.18,41.81,48,0,3.38,NP,1607304668
Leh,34.17,77.58,15.39,77,95,0.07,IN,1607304735
Dali,25.7,100.18,49.82,63,3,1.99,CN,1607304736
Intipucá,13.2,-88.05,75.54,81,13,2.68,SV,1607304737
Lingdong,46.57,131.15,11.28,90,43,8.41,CN,1607304738
Show Low,34.25,-110.03,42.8,18,1,6.22,US,1607304739
Kindu,-2.95,25.95,68.5,97,80,1.77,CD,1607304741
San Juan,-31.54,-68.54,79.02,26,15,0.6,AR,1607304212
Birao,10.28,22.79,67.59,25,98,4.68,CF,1607304205
Breytovo,58.3,37.86,21.27,92,0,12.5,RU,1607304744
Tshikapa,-6.42,20.8,68.54,93,59,1.03,CD,1607304745
Creston,41.06,-94.36,33.8,100,90,6.93,US,1607304746
Teguise,29.06,-13.56,60.8,82,40,10.29,ES,1607304747
Orocué,4.79,-71.34,75.33,91,100,3.51,CO,1607304748
Abu Dhabi,24.47,54.37,77.0,69,40,11.41,AE,1607304457
Chunoyar,57.45,97.32,10.22,93,100,11.52,RU,1607304750
Härnösand,62.63,17.94,43.0,100,100,10.29,SE,1607304751
Jatibonico,21.94,-79.17,70.39,89,38,7.23,CU,1607304753
Pimentel,-6.84,-79.93,68.0,77,0,18.34,PE,1607304192
Santa Rosa,14.31,121.11,82.4,78,75,6.93,PH,1607304755
Rancho Palos Verdes,33.74,-118.39,60.8,29,40,10.29,US,1607304732
Neiafu,-18.65,-173.98,84.2,79,75,11.41,TO,1607304757
Makat,47.65,53.35,10.02,88,0,8.34,KZ,1607304758
Rehoboth,-23.32,17.08,58.57,55,0,2.64,NA,1607304759
Ust'-Uda,54.17,103.03,9.68,92,100,4.32,RU,1607304760
Lermontovka,47.15,134.34,14.99,91,97,7.27,RU,1607304715
Dori,14.04,-0.03,78.33,20,74,7.65,BF,1607304763
Andenes,69.31,16.12,33.01,86,10,4.7,NO,1607304765
Egvekinot,66.32,-179.17,9.7,84,8,5.39,RU,1607304215
Praia da Vitória,38.73,-27.07,57.2,87,20,8.46,PT,1607304680
La Rioja,42.25,-2.5,43.0,87,75,5.82,ES,1607304768
Sungai Penuh,-2.08,101.38,75.96,65,41,3.02,ID,1607304769
Uruçuí,-7.23,-44.56,78.44,69,0,1.34,BR,1607304770
Pangnirtung,66.15,-65.71,0.5,87,95,2.01,CA,1607304616
Asău,46.43,26.4,30.0,13,100,4.76,RO,1607304676
Blagoyevo,63.37,47.92,31.51,98,100,7.29,RU,1607304652
Kosino,58.41,51.28,13.77,94,18,7.0,RU,1607304775
Mossamedes,-15.2,12.15,66.43,75,7,7.58,AO,1607304702
Ancud,-41.87,-73.82,57.2,82,0,1.12,CL,1607304778
Mount Gambier,-37.83,140.77,50.0,76,75,26.4,AU,1607303994
Toora-Khem,52.47,96.11,-7.51,86,80,1.3,RU,1607304714
Shubarkuduk,49.14,56.49,4.42,92,0,4.34,KZ,1607304781
Kasempa,-13.46,25.83,64.09,96,100,3.8,ZM,1607304782
Clovis,36.83,-119.7,57.2,47,20,6.93,US,1607304655
Honiara,-9.43,159.95,87.8,74,40,10.29,SB,1607304784
Manta,-0.95,-80.73,75.2,83,75,10.29,EC,1607304785
Moose Factory,51.26,-80.61,14.0,92,90,2.73,CA,1607304786
Palmas Bellas,9.23,-80.09,79.0,86,100,7.0,PA,1607304788
Shelburne,44.08,-80.2,25.0,87,15,6.71,CA,1607304790
Aborlan,9.44,118.55,84.2,79,75,9.17,PH,1607304791
Petropavlovsk-Kamchatskiy,53.05,158.65,10.4,78,20,6.71,RU,1607304792
Isangel,-19.55,169.27,84.2,74,75,5.82,VU,1607304793
Miles City,46.41,-105.84,33.8,50,1,9.17,US,1607304620
Chara,56.91,118.26,-2.94,80,47,3.22,RU,1607304796
Winneba,5.35,-0.62,82.4,83,20,11.41,GH,1607304798
Lødingen,68.41,16.0,28.4,100,90,6.93,NO,1607304799
Tongliao,43.61,122.27,9.64,88,0,11.16,CN,1607304800
Port Townsend,48.12,-122.76,52.0,87,90,4.7,US,1607304801
Grenville,12.12,-61.62,78.8,83,20,9.17,GD,1607304802
Talcahuano,-36.72,-73.12,53.6,100,90,11.41,CL,1607304636
Tongchuanshi,35.08,109.09,29.68,81,100,5.61,CN,1607304804
Suez,29.97,32.53,60.78,49,0,7.92,EG,1607304805
Dingle,11.0,122.67,83.21,80,100,5.59,PH,1607304699
Solnechnyy,50.72,136.63,14.16,82,0,2.01,RU,1607304647
San Ramon,37.78,-121.98,55.99,43,1,3.36,US,1607304178
Buin,-33.73,-70.75,69.01,42,0,14.99,CL,1607304810
Okha,53.57,142.95,9.77,89,37,14.12,RU,1607304811
Waddān,29.16,16.14,52.5,42,0,6.26,LY,1607304812
Amahai,-3.33,128.92,88.84,60,75,1.21,ID,1607304813
Marawi,8.0,124.29,82.0,82,98,3.0,PH,1607304814
Kaoma,-14.78,24.8,64.76,96,100,2.91,ZM,1607304815
Heiligenhafen,54.37,10.98,44.01,93,100,6.93,DE,1607304816
Inhambane,-23.86,35.38,73.58,81,84,8.16,MZ,1607304817
Skjervøy,70.03,20.97,31.5,90,24,11.61,NO,1607304818
Felanitx,39.47,3.15,54.0,58,40,5.82,ES,1607304221
Karratha,-20.74,116.85,92.82,44,32,11.27,AU,1607304821
Mehrān,33.12,46.16,39.2,100,40,2.24,IR,1607304822
Buraidah,26.33,43.98,48.2,100,0,2.24,SA,1607304532
Chillicothe,39.33,-82.98,36.0,74,90,4.7,US,1607304693
Troitskoye,52.98,84.68,3.79,93,90,4.09,RU,1607304825
Wattegama,6.8,81.48,71.6,100,20,2.24,LK,1607304826
The Valley,18.22,-63.06,79.0,74,20,5.82,AI,1607304827
Road Town,18.42,-64.62,78.8,88,75,9.17,VG,1607304828
Hofn,64.25,-15.21,34.54,88,100,9.37,IS,1607304667
Vila Franca do Campo,37.72,-25.43,59.0,82,75,2.24,PT,1607304830
Nizhnevartovsk,60.93,76.55,15.8,85,90,11.18,RU,1607304832
Benguela,-12.58,13.41,73.76,83,86,2.91,AO,1607304833
Umluj,25.02,37.27,68.34,52,0,6.82,SA,1607304834
Shirokiy,49.76,129.52,6.22,93,64,5.28,RU,1607304835
Abu Samrah,35.3,37.18,49.62,79,0,2.33,SY,1607304837
Sechura,-5.56,-80.82,70.88,74,100,13.49,PE,1607304751
Jāwā,31.85,35.94,50.0,81,0,4.12,JO,1607304840
Ikom,5.97,8.71,73.85,90,4,1.07,NG,1607304842
Safaga,26.73,33.94,59.0,44,0,3.4,EG,1607304843
Majene,-3.54,118.97,88.16,57,100,1.28,ID,1607304844
Katobu,-4.94,122.53,89.71,59,100,2.04,ID,1607304845
Salinópolis,-0.61,-47.36,80.35,80,69,10.94,BR,1607304846
Ende,-8.84,121.66,86.16,61,100,2.42,ID,1607304848
Ziro,27.63,93.83,43.23,100,84,1.45,IN,1607304849
Behbahān,30.6,50.24,53.6,87,40,4.7,IR,1607304850
Chippewa Falls,44.94,-91.39,33.8,74,90,5.82,US,1607304418
Half Moon Bay,37.46,-122.43,57.2,71,1,5.82,US,1607304707
Ormara,25.21,64.64,75.47,71,0,4.29,PK,1607304854
Nivala,63.92,24.97,34.0,97,100,5.01,FI,1607304855
Imphal,24.82,93.95,46.4,93,40,0.47,IN,1607304602
Sabang,5.89,95.32,81.07,79,100,11.18,ID,1607304858
George Town,5.41,100.34,80.6,83,20,5.82,MY,1607304849
Portobelo,9.55,-79.65,79.0,99,100,6.46,PA,1607304860
Correntina,-13.34,-44.64,72.18,78,36,2.04,BR,1607304861
Kidal,18.44,1.41,69.46,34,11,9.24,ML,1607304863
Krasnyy,54.57,31.43,20.82,92,0,12.08,RU,1607304864
Lyuban',52.8,28.0,23.38,93,0,16.98,BY,1607304865
Aleksandrovskoye,44.71,43.0,23.0,92,90,13.42,RU,1607304866
Adzhamka,48.54,32.54,18.81,89,0,14.45,UA,1607304867
Casma,-41.01,-73.12,62.6,72,0,4.7,CL,1607304869
Rio Casca,-20.23,-42.65,71.1,88,100,2.15,BR,1607304873
Ingham,42.6,-84.38,27.0,73,90,3.36,US,1607304874
Miyazu,35.53,135.18,42.8,87,20,4.7,JP,1607304875
Sobolevo,54.43,31.9,20.41,92,0,11.14,RU,1607304833
Steinbach am Taunus,50.17,8.57,42.01,100,90,4.7,DE,1607304877
Havre-St-Pierre,50.23,-63.6,28.4,92,90,24.16,CA,1607304879
Anzio,41.49,12.62,46.99,81,40,9.17,IT,1607304880
Aberdeen,57.14,-2.1,39.2,100,91,3.36,GB,1607304881
Koungou,-12.73,45.2,78.8,83,40,1.12,YT,1607304882
Constantine,36.37,6.61,41.0,72,40,11.41,DZ,1607304883
Sohag,26.56,31.69,57.2,41,0,6.93,EG,1607304885
Tessalit,20.2,1.01,63.99,38,38,6.04,ML,1607304886
Chase,50.82,-119.69,36.0,86,100,3.36,CA,1607304887
Stornoway,58.21,-6.39,37.99,79,1,2.24,GB,1607304888
Puerto Vallarta,20.62,-105.23,73.4,83,90,2.24,MX,1607304889
Verāval,20.9,70.37,74.23,48,72,10.16,IN,1607304678
Liverpool,53.41,-2.98,41.0,93,100,1.12,GB,1607304679
Tolga,34.72,5.38,44.6,70,40,5.82,DZ,1607304894
Lumberton,34.62,-79.01,44.6,81,1,4.74,US,1607304895
Paita,-5.09,-81.11,68.49,81,100,13.2,PE,1607304897
Sosnogorsk,63.6,53.88,27.45,98,100,7.49,RU,1607304898
Morales,2.76,-76.62,59.45,90,94,1.45,CO,1607304899
Faya,18.39,42.45,53.6,93,0,3.36,SA,1607304901
Seidu,9.02,-10.6,67.1,100,99,2.26,SL,1607304903
Taunggyi,20.78,97.03,59.49,75,0,1.63,MM,1607304634
Yulara,-25.24,130.99,84.2,17,90,12.75,AU,1607304906
Bandarbeyla,9.49,50.81,74.66,78,33,7.43,SO,1607304648
Chumikan,54.72,135.31,5.61,85,94,21.56,RU,1607304908
Durango,24.83,-104.83,38.32,68,0,2.3,MX,1607304824
Turiaçu,-1.66,-45.37,76.6,89,99,4.63,BR,1607304912
Byron Bay,-28.65,153.62,86.0,65,75,10.29,AU,1607304913
Banes,20.96,-75.72,73.4,88,20,8.05,CU,1607304914
North Branch,45.51,-92.98,33.01,99,0,0.94,US,1607304916
